accusedmasterid,accusedname,case_count,gang_member,account_count,total_transaction_volume,call_count,violent_ratio,risk_score,anomaly
65,Hemangini Garde,1,0,0,0.0,0,1.0,29.05812705774378,1
66,Chaman Ratti,1,0,0,0.0,1,1.0,21.477503289656326,1
67,Amara Bhasin,1,0,0,0.0,1,1.0,21.477503289656326,1
68,Dipta Tailor,1,0,3,4464070.74,1,0.0,40.7527572669742,1
69,Faraj Gandhi,1,0,3,4632233.22,1,0.0,40.99560579640494,1
70,Michael Ramesh,1,0,0,0.0,1,0.0,0.0,1
71,Falguni Soman,1,0,0,0.0,1,0.0,0.0,1
72,Zinal Parsa,1,0,0,0.0,3,0.0,20.407339944972712,1
73,Chakrika Dora,1,0,0,0.0,1,0.0,0.0,1
74,Onkar Sura,1,0,1,1003673.59,1,1.0,56.208030824141694,-1
75,Anmol Kota,1,0,0,0.0,2,1.0,32.74227984684854,1
76,Advay Kohli,1,0,1,6889003.8,4,1.0,84.0662061120788,-1
77,Harinakshi Nagy,1,0,2,3611836.94,1,1.0,62.082730444369616,-1
78,Henry Barad,1,0,0,0.0,2,0.0,7.000792908036693,1
79,Nimrat Doshi,1,0,0,0.0,1,0.0,0.0,1
80,Forum Hora,1,0,0,0.0,1,0.0,0.0,1
81,Yug De,1,0,1,1626445.37,1,0.0,34.53112993851114,1
82,Damyanti Khosla,1,0,0,0.0,1,0.0,0.0,1
83,Upadhriti Rout,1,0,0,0.0,0,0.0,5.259405546252918,1
84,Imaran Seshadri,1,0,1,1593135.7,0,0.0,42.39137850136513,1
85,Mason Sunder,1,0,0,0.0,2,0.0,7.000792908036693,1
86,Umang Pandey,1,0,0,0.0,1,0.0,0.0,1
87,Meera Maharaj,1,0,0,0.0,0,0.0,5.259405546252918,1
88,Darsh Dhingra,1,0,0,0.0,0,0.0,5.259405546252918,1
89,Karan Tiwari,1,0,0,0.0,1,0.0,0.0,1
90,Hemang Srivastava,1,1,0,0.0,1,0.0,66.0639593671493,-1
91,Aarav Naidu,1,0,2,13065316.06,2,0.0,63.61449311831306,-1
92,Sachi Ramachandran,1,0,0,0.0,1,0.0,0.0,1
93,Oscar Samra,1,0,0,0.0,1,0.0,0.0,1
94,Jeevika Cheema,1,0,0,0.0,1,0.0,0.0,1
95,Ria Seshadri,1,0,1,278729.82,1,0.0,33.020045009351605,1
96,Hemang Samra,1,0,1,1619196.33,0,0.0,42.30370982413383,1
97,Dhriti Lalla,1,0,0,0.0,1,0.0,0.0,1
98,Mohammed Bandi,1,0,3,2231998.03,1,0.0,46.403188084553356,1
99,Eshana D’Alia,1,0,0,0.0,1,0.0,0.0,1
100,Tara Swamy,1,0,0,0.0,3,0.0,20.407339944972712,1
101,Lopa Padmanabhan,1,0,0,0.0,2,0.0,7.000792908036693,1
102,Priya Datta,1,0,1,940796.79,3,0.0,48.496597598960435,1
103,Maanav Mannan,1,0,0,0.0,1,0.0,0.0,1
104,Nirja Nadkarni,1,0,0,0.0,0,0.0,5.259405546252918,1
105,Kala Oza,1,0,2,240019.26,1,0.0,40.64641279994884,1
106,Hema Kala,1,0,0,0.0,1,0.0,0.0,1
107,Sara Doshi,1,0,0,0.0,1,0.0,0.0,1
108,Chakrika Kurian,1,0,0,0.0,0,0.0,5.259405546252918,1
109,Kamya Misra,1,0,0,0.0,0,0.0,5.259405546252918,1
110,Bhanumati Dass,1,0,0,0.0,0,0.0,5.259405546252918,1
111,Chakradhar Nayar,1,0,0,0.0,0,0.0,5.259405546252918,1
112,Nilima Thakkar,1,0,0,0.0,0,0.0,5.259405546252918,1
113,Hamsini Krish,1,0,0,0.0,0,0.0,5.259405546252918,1
114,Kavya Wable,1,0,0,0.0,1,0.0,0.0,1
115,Inaya Warrior,1,0,0,0.0,2,0.0,7.000792908036693,1
116,Dipta Behl,1,0,0,0.0,0,0.0,5.259405546252918,1
117,Ridhi Kakar,1,0,2,12593787.98,2,0.0,63.2234578594303,-1
118,Ridhi Bajaj,1,0,0,0.0,2,0.0,7.000792908036693,1
119,Yashoda Murthy,1,0,0,0.0,2,0.0,7.000792908036693,1
120,Tamanna Grewal,1,0,1,2733596.88,1,1.0,60.40807853012474,-1
121,Mugdha Raj,1,0,0,0.0,1,1.0,21.477503289656326,1
122,Eshana Naik,1,0,0,0.0,1,0.0,0.0,1
123,Libni Deo,1,0,0,0.0,1,0.0,0.0,1
124,Bhavani Ramachandran,1,0,0,0.0,1,0.0,0.0,1
125,Prisha Hans,1,0,0,0.0,2,0.0,7.000792908036693,1
126,Darsh Khosla,1,0,0,0.0,1,0.0,0.0,1
127,Nidhi Dasgupta,1,0,0,0.0,1,0.0,0.0,1
128,Laksh Garde,1,0,2,8842998.27,3,0.0,64.2296157599121,-1
129,Pushti Chandra,1,0,0,0.0,0,0.0,5.259405546252918,1
130,Gayathri Dani,1,0,0,0.0,1,0.0,0.0,1
131,Ijaya Mani,1,0,0,0.0,4,0.0,48.107155657708,1
132,Jagrati Cheema,1,0,0,0.0,0,0.0,5.259405546252918,1
133,Gaurangi Chaudhry,1,0,0,0.0,0,0.0,5.259405546252918,1
134,Amaira Prabhakar,1,0,0,0.0,0,0.0,5.259405546252918,1
135,Sara Raja,1,0,3,6512241.48,0,0.0,51.36646577541816,1
136,Keya Dixit,1,0,1,0.0,1,0.0,30.263092311856703,1
137,Wakeeta Kari,1,0,0,0.0,0,0.0,5.259405546252918,1
138,Radhika Gandhi,1,1,0,0.0,0,0.0,64.01024603218627,-1
139,Hamsini Pai,1,0,0,0.0,1,0.0,0.0,1
140,Harrison Anand,1,0,1,3566694.62,0,0.0,51.05170810815821,1
141,Aryan Pau,1,0,0,0.0,0,0.0,5.259405546252918,1
142,Edhitha Radhakrishnan,1,0,1,0.0,0,0.0,37.374531993477014,1
143,Waida Saha,1,0,0,0.0,1,0.0,0.0,1
144,Amaira Shukla,1,0,0,0.0,0,0.0,5.259405546252918,1
145,Vinaya Sule,1,0,0,0.0,2,0.0,7.000792908036693,1
146,Harita Vasa,1,0,0,0.0,1,0.0,0.0,1
147,Meera Konda,1,0,0,0.0,1,0.0,0.0,1
148,Chameli Magar,1,0,0,0.0,1,0.0,0.0,1
149,Odika Lal,1,0,3,5683903.06,1,0.0,42.47971726910776,1
150,Nirja Chawla,1,0,0,0.0,0,0.0,5.259405546252918,1
151,Ekapad Tak,1,0,0,0.0,1,0.0,0.0,1
152,Widisha Minhas,1,0,0,0.0,0,1.0,29.05812705774378,1
153,Gayathri Krishna,1,0,0,0.0,0,1.0,29.05812705774378,1
154,Yachana Dubey,1,0,0,0.0,1,1.0,21.477503289656326,1
155,Zarna Chandra,1,0,0,0.0,2,1.0,32.74227984684854,1
156,Harini Raja,1,0,0,0.0,1,0.0,0.0,1
157,Vasana Oak,1,0,0,0.0,4,0.0,48.107155657708,1
158,Kiaan Nath,1,0,0,0.0,1,0.0,0.0,1
159,Ria Misra,1,0,0,0.0,1,0.0,0.0,1
160,Ganga Bedi,1,0,0,0.0,2,1.0,32.74227984684854,1
161,Xavier Pingle,1,0,0,0.0,2,0.0,7.000792908036693,1
162,Harsh Modi,1,0,3,2374852.44,1,0.0,46.05525284717686,1
163,Eesha Hari,1,0,0,0.0,1,0.0,0.0,1
164,Bakhshi Bhalla,1,0,0,0.0,0,0.0,5.259405546252918,1
165,Vasudha Dhar,1,0,0,0.0,2,1.0,32.74227984684854,1
166,Vivaan Lanka,1,0,2,2464881.11,1,1.0,60.66941944254642,-1
167,Prisha Deo,1,0,3,20868859.7,2,1.0,91.64587788965899,-1
168,Krishna Malhotra,1,0,0,0.0,1,1.0,21.477503289656326,1
169,Gaurav Sule,1,0,0,0.0,1,0.0,0.0,1
170,Advika Garde,1,0,0,0.0,3,0.0,20.407339944972712,1
171,Tanmayi Deep,1,0,0,0.0,1,0.0,0.0,1
172,Radha Toor,1,0,0,0.0,1,0.0,0.0,1
173,Krish Khare,1,0,0,0.0,1,0.0,0.0,1
174,Warhi Rana,1,0,0,0.0,1,0.0,0.0,1
175,Yashica Rattan,1,0,1,1815924.07,0,0.0,41.94220621808282,1
176,Amrita Bumb,1,0,0,0.0,1,0.0,0.0,1
177,Damyanti Rana,1,0,0,0.0,0,0.0,5.259405546252918,1
178,Janya Agate,1,0,0,0.0,0,0.0,5.259405546252918,1
179,Devika Shanker,1,0,0,0.0,0,0.0,5.259405546252918,1
180,Brijesh Padmanabhan,1,0,0,0.0,1,0.0,0.0,1
181,Tanvi Savant,1,0,0,0.0,1,0.0,0.0,1
182,Chakrika Kumar,1,0,0,0.0,1,0.0,0.0,1
183,Bhavna Dewan,1,0,0,0.0,1,0.0,0.0,1
184,Faraj Ganesh,1,0,2,442799.42,0,0.0,45.351265696579816,1
185,Simon Dhar,1,0,0,0.0,1,0.0,0.0,1
186,Samesh Konda,1,0,2,7222712.4,2,0.0,47.8773998049855,1
187,Niharika Loyal,1,0,0,0.0,0,0.0,5.259405546252918,1
188,Jeremiah Toor,1,0,0,0.0,0,0.0,5.259405546252918,1
189,Vrinda Upadhyay,1,0,0,0.0,0,0.0,5.259405546252918,1
190,Umang Choudhary,1,0,1,0.0,2,0.0,36.204853278335065,1
191,Kala Suresh,1,0,2,0.0,1,0.0,39.31340748297014,1
192,Ranveer Sachar,1,0,0,0.0,1,0.0,0.0,1
193,Netra Mallick,1,0,0,0.0,1,0.0,0.0,1
194,Chakrika Hans,1,0,2,845483.17,0,0.0,46.201934036268646,1
195,Yachana Suresh,1,0,0,0.0,1,0.0,0.0,1
196,Udyati Das,1,0,0,0.0,0,0.0,5.259405546252918,1
197,Atharv Bahl,1,0,0,0.0,1,0.0,0.0,1
198,Ubika Balay,1,0,0,0.0,2,0.0,7.000792908036693,1
199,Kamala Garde,1,0,0,0.0,1,0.0,0.0,1
200,Radhika Talwar,1,0,0,0.0,1,0.0,0.0,1
201,Nikita Lata,1,0,3,5073924.91,1,0.0,41.483506179618,1
202,Mitali Kadakia,1,0,0,0.0,1,0.0,0.0,1
203,Oscar D’Alia,1,0,0,0.0,0,1.0,29.05812705774378,1
204,Nirja Madan,1,0,0,0.0,1,0.0,0.0,1
205,Kritika Sarna,1,0,3,4037076.37,1,0.0,40.89685301974256,1
206,Neha Nazareth,1,0,0,0.0,2,0.0,7.000792908036693,1
207,Indali Hari,1,0,0,0.0,0,0.0,5.259405546252918,1
208,Bhavani Bava,1,0,0,0.0,0,0.0,5.259405546252918,1
209,Yochana Thakur,1,0,0,0.0,1,0.0,0.0,1
210,Ati Maharaj,1,0,3,3204975.41,1,0.0,43.0518180530909,1
211,Ishanvi Ratti,1,0,0,0.0,0,0.0,5.259405546252918,1
212,Siya Swamy,1,0,1,0.0,2,0.0,36.204853278335065,1
213,Oeshi Borde,1,0,0,0.0,2,0.0,7.000792908036693,1
214,Chaitaly Raman,1,0,0,0.0,0,0.0,5.259405546252918,1
215,Leena Ganesh,1,0,0,0.0,3,0.0,20.407339944972712,1
216,Saanvi Khare,1,0,0,0.0,1,0.0,0.0,1
217,Adya Mohanty,1,0,0,0.0,2,0.0,7.000792908036693,1
218,Devika Borra,1,0,0,0.0,2,0.0,7.000792908036693,1
219,Vasudha Agarwal,1,0,0,0.0,3,0.0,20.407339944972712,1
220,Bahadurjit Gopal,1,0,0,0.0,1,0.0,0.0,1
221,Qarin Sarkar,1,0,3,3475537.99,0,0.0,48.77138895386311,1
222,Gautami Narang,1,0,0,0.0,2,0.0,7.000792908036693,1
223,Lila Sarna,1,0,3,3049697.7,0,0.0,49.724681614382305,1
224,Qasim Palla,1,0,3,4448301.49,0,0.0,48.43840172195009,1
225,Vanya Soni,1,0,0,0.0,1,0.0,0.0,1
226,Amruta Bobal,1,0,0,0.0,4,0.0,48.107155657708,1
227,Theodore Chad,1,0,0,0.0,2,0.0,7.000792908036693,1
228,Lajita Choudhry,1,0,1,0.0,0,0.0,37.374531993477014,1
229,Kritika Chopra,1,0,0,0.0,1,0.0,0.0,1
230,Udant Sama,1,0,1,1544337.47,0,0.0,42.30370982413383,1
231,Chandani Loke,1,0,0,0.0,3,0.0,20.407339944972712,1
232,Chaman Subramaniam,1,0,0,0.0,2,0.0,7.000792908036693,1
233,Ranbir Warrior,1,0,0,0.0,0,0.0,5.259405546252918,1
234,Michael Bhatnagar,1,0,0,0.0,1,0.0,0.0,1
235,Charvi Aurora,1,0,3,27092173.32,2,0.0,82.6107267824388,-1
236,Oliver Nayar,1,0,0,0.0,0,0.0,5.259405546252918,1
237,Mohammed Kakar,1,0,0,0.0,0,0.0,5.259405546252918,1
238,Harinakshi Patel,1,0,0,0.0,0,0.0,5.259405546252918,1
239,Jacob Bajwa,1,0,0,0.0,1,0.0,0.0,1
240,Anjali Rau,1,0,0,0.0,4,0.0,48.107155657708,1
241,Zayyan Raghavan,1,0,0,0.0,0,1.0,29.05812705774378,1
242,Damyanti Naidu,1,0,0,0.0,0,0.0,5.259405546252918,1
243,Anvi Thakur,1,0,0,0.0,2,0.0,7.000792908036693,1
244,Dominic Narang,1,0,0,0.0,0,0.0,5.259405546252918,1
245,Mugdha Mohanty,1,0,0,0.0,1,0.0,0.0,1
246,Balhaar Koshy,1,0,0,0.0,3,0.0,20.407339944972712,1
247,Wridesh Prabhu,1,0,0,0.0,2,0.0,7.000792908036693,1
248,Anthony Kari,1,0,0,0.0,2,0.0,7.000792908036693,1
249,Peter Chahal,1,0,0,0.0,3,0.0,20.407339944972712,1
250,Warda Narayanan,1,0,0,0.0,3,0.0,20.407339944972712,1
251,Bhavya Dhar,1,0,0,0.0,3,0.0,20.407339944972712,1
252,Jeremiah Parikh,1,0,3,3590520.66,1,1.0,68.03519623261803,-1
253,Bhavani Chanda,1,0,0,0.0,1,1.0,21.477503289656326,1
254,Adya Toor,1,0,0,0.0,0,0.0,5.259405546252918,1
255,Aashi Srivastava,1,0,0,0.0,1,0.0,0.0,1
256,Nihal Kunda,1,0,0,0.0,4,0.0,48.107155657708,1
257,Yahvi Dube,1,0,0,0.0,1,0.0,0.0,1
258,Mahika Chauhan,1,0,3,6670519.52,1,0.0,45.28637579878421,1
259,Aadhya Wadhwa,1,0,2,3937635.81,3,1.0,73.58162536959918,-1
260,Hema De,1,0,0,0.0,1,1.0,21.477503289656326,1
261,Zayan Sani,1,0,0,0.0,1,0.0,0.0,1
262,Keya Bhatt,1,0,0,0.0,0,0.0,5.259405546252918,1
263,Manthan Seshadri,1,0,1,3584072.85,1,0.0,43.49891089132227,1
264,Bhavini Kuruvilla,1,0,0,0.0,0,0.0,5.259405546252918,1
265,Oviya Rout,1,0,0,0.0,3,0.0,20.407339944972712,1
266,Keya Das,1,0,0,0.0,0,0.0,5.259405546252918,1
267,Yatan Nagar,1,0,0,0.0,1,0.0,0.0,1
268,Vincent Banik,1,0,0,0.0,0,0.0,5.259405546252918,1
269,Deepa Sheth,1,0,0,0.0,2,0.0,7.000792908036693,1
270,Irya Chad,1,0,0,0.0,2,0.0,7.000792908036693,1
271,Fariq Doctor,1,0,0,0.0,2,0.0,7.000792908036693,1
272,Nimrat Chandran,1,0,0,0.0,0,0.0,5.259405546252918,1
273,Sanaya Borah,1,0,3,6055510.22,0,0.0,50.57731306235413,1
274,Dhruv Thaker,1,0,0,0.0,2,0.0,7.000792908036693,1
275,Isha Yogi,1,0,0,0.0,1,0.0,0.0,1
276,Ekiya Kata,1,0,0,0.0,1,0.0,0.0,1
277,Meghana Arya,1,0,0,0.0,1,0.0,0.0,1
278,Falan Pai,1,1,0,0.0,0,0.0,64.01024603218627,-1
279,Kamala Kakar,1,0,0,0.0,0,0.0,5.259405546252918,1
280,Yadavi Murthy,1,0,2,5209357.11,3,0.0,58.807262071469594,-1
281,Charvi Mahal,1,0,0,0.0,1,0.0,0.0,1
282,Pahal Swamy,1,0,1,7322037.27,3,0.0,64.67206974825615,-1
283,Warda Manne,1,0,0,0.0,0,0.0,5.259405546252918,1
284,Chameli Taneja,1,0,0,0.0,3,0.0,20.407339944972712,1
285,Zehaan Bhavsar,1,0,1,3862841.53,0,0.0,51.73038307400025,1
286,Ekta Naidu,1,0,0,0.0,1,0.0,0.0,1
287,Jagat Tailor,1,0,0,0.0,0,0.0,5.259405546252918,1
288,Brijesh Grover,1,0,0,0.0,1,0.0,0.0,1
289,Theodore Dasgupta,1,0,0,0.0,1,0.0,0.0,1
290,Henry Sundaram,1,0,0,0.0,1,0.0,0.0,1
291,Owen Pal,1,0,2,5411944.47,0,0.0,46.63813545565018,1
292,Suhani Varma,1,0,0,0.0,1,0.0,0.0,1
293,Vanya Apte,1,0,2,3929110.52,2,1.0,67.01531002092524,-1
294,Tara Koshy,1,0,0,0.0,2,1.0,32.74227984684854,1
295,Nandini Walia,1,0,0,0.0,1,1.0,21.477503289656326,1
296,Anusha Rau,1,0,0,0.0,0,1.0,29.05812705774378,1
297,Lakshmi Sahni,1,0,2,1040136.73,0,0.0,45.365291700997986,1
298,Gaurangi Sidhu,1,0,0,0.0,0,0.0,5.259405546252918,1
299,Indira Chana,1,0,1,2698720.32,1,0.0,40.57531565218535,1
300,Onkar Sura,1,0,1,1003673.59,1,0.0,34.75399022083724,1
301,Indira Patla,1,0,0,0.0,1,0.0,0.0,1
302,Triya Chaudhuri,1,0,3,7152622.67,1,0.0,46.6054814410394,1
303,Fitan Pandya,1,0,0,0.0,2,0.0,7.000792908036693,1
304,Girik Chaudry,1,0,2,86803.57,1,0.0,41.011894933738034,1
305,Chatresh Anne,1,0,0,0.0,1,0.0,0.0,1
306,Dhriti Dara,1,0,3,5724310.37,0,0.0,49.57199709019588,1
307,Sathvik Pandit,1,0,0,0.0,0,0.0,5.259405546252918,1
308,Janya Kapadia,1,0,0,0.0,1,0.0,0.0,1
309,Saanvi Dass,1,0,0,0.0,1,0.0,0.0,1
310,Qushi Goda,1,0,3,7177380.6,0,0.0,52.67604013796091,1
311,Jason Peri,1,0,0,0.0,1,1.0,21.477503289656326,1
312,Harshil Grewal,1,0,1,1763888.56,0,1.0,61.81832328768191,-1
313,Oviya Goda,1,0,1,530467.92,0,1.0,60.308332449984505,-1
314,Agastya Munshi,1,0,3,6474999.85,1,0.0,44.65490987302564,1
315,Wyatt Karnik,1,0,0,0.0,3,0.0,20.407339944972712,1
316,Devansh Tara,1,0,0,0.0,0,0.0,5.259405546252918,1
317,Kai Banik,1,0,0,0.0,1,0.0,0.0,1
318,Raghav Kapoor,1,0,0,0.0,2,1.0,32.74227984684854,1
319,Harini Lala,1,0,0,0.0,0,1.0,29.05812705774378,1
320,Anya Pai,1,0,0,0.0,0,1.0,29.05812705774378,1
321,Abeer Kala,1,0,0,0.0,2,1.0,32.74227984684854,1
322,Rajata Varghese,1,0,0,0.0,1,1.0,21.477503289656326,1
323,Yochana Mukhopadhyay,1,1,0,0.0,2,0.0,67.20242353701552,-1
324,Logan Majumdar,1,0,0,0.0,1,0.0,0.0,1
325,Hamsini Chauhan,1,0,0,0.0,2,0.0,7.000792908036693,1
326,Zayan Dutta,1,0,0,0.0,1,0.0,0.0,1
327,Ati Mukherjee,1,0,3,6053329.68,0,0.0,50.44443748697526,1
328,Isha Gopal,1,0,0,0.0,1,0.0,0.0,1
329,Dakshesh Sangha,1,0,3,11239849.49,1,0.0,59.406598690259244,-1
330,Ojas Goda,1,0,1,651186.23,1,0.0,34.18531464124159,1
331,Aarna Cheema,1,0,2,3628104.02,2,1.0,66.59258472700841,-1
332,Anthony Chauhan,1,0,0,0.0,1,1.0,21.477503289656326,1
333,Watika Sha,1,0,0,0.0,1,1.0,21.477503289656326,1
334,Sara Babu,1,0,0,0.0,1,1.0,21.477503289656326,1
335,Udant Deol,1,0,0,0.0,1,0.0,0.0,1
336,Neel Walia,1,0,0,0.0,1,0.0,0.0,1
337,Tejas Kadakia,1,0,0,0.0,1,0.0,0.0,1
338,Amaira Patla,1,0,0,0.0,1,0.0,0.0,1
339,Udyati Minhas,1,0,0,0.0,0,0.0,5.259405546252918,1
340,Lakshit Cherian,1,0,0,0.0,0,0.0,5.259405546252918,1
341,Kala Chaudhary,1,0,1,5548573.46,0,0.0,55.81342828495201,-1
342,Zashil Sinha,1,0,0,0.0,2,0.0,7.000792908036693,1
343,Hemangini Chopra,1,0,2,24875051.28,3,1.0,91.97333576110398,-1
344,Sanaya Sami,1,0,0,0.0,0,1.0,29.05812705774378,1
345,Urmi Lad,1,0,1,1358342.51,0,1.0,61.61549374539172,-1
346,Hiral Sachdeva,1,0,3,14340549.16,2,1.0,85.27038438604852,-1
347,Aarna Nath,1,0,1,3457645.29,0,1.0,67.37792658058362,-1
348,Bhavna Jayaraman,1,0,1,1507996.99,1,0.0,34.83203448317667,1
349,Jagvi Tailor,1,0,0,0.0,1,0.0,0.0,1
350,Jagvi Basu,1,0,0,0.0,1,0.0,0.0,1
351,Eta Raju,1,0,2,1209658.01,0,0.0,44.930725123386964,1
352,Girish Saran,1,0,0,0.0,1,1.0,21.477503289656326,1
353,Rushil Kara,1,0,0,0.0,0,1.0,29.05812705774378,1
354,Ati Butala,1,0,0,0.0,0,1.0,29.05812705774378,1
355,Kala Thakur,1,0,0,0.0,0,1.0,29.05812705774378,1
356,Sai Iyengar,1,0,0,0.0,0,1.0,29.05812705774378,1
357,Charita Ramakrishnan,1,0,1,525102.05,0,0.0,41.137726166680984,1
358,Januja Kapadia,1,0,0,0.0,0,0.0,5.259405546252918,1
359,Tanvi Om,1,0,0,0.0,1,0.0,0.0,1
360,Lekha Pillai,1,0,0,0.0,1,0.0,0.0,1
361,Raksha Rau,1,0,0,0.0,1,0.0,0.0,1
362,Dakshesh Choudhary,1,0,0,0.0,3,0.0,20.407339944972712,1
363,Yatin Lad,1,0,0,0.0,1,0.0,0.0,1
364,Widisha Kibe,1,0,0,0.0,0,1.0,29.05812705774378,1
365,Adweta Dyal,1,0,0,0.0,0,1.0,29.05812705774378,1
366,Radha Sunder,1,0,0,0.0,2,0.0,7.000792908036693,1
367,Triveni Nigam,1,0,0,0.0,0,0.0,5.259405546252918,1
368,Pallavi Kade,1,0,0,0.0,0,0.0,5.259405546252918,1
369,Jasmit Baral,1,0,1,1035088.12,1,0.0,34.75399022083724,1
370,Tamanna Kothari,1,0,0,0.0,2,0.0,7.000792908036693,1
371,Nicholas Krishnan,1,0,0,0.0,0,0.0,5.259405546252918,1
372,Harini Pal,1,0,0,0.0,1,0.0,0.0,1
373,Brijesh Sami,1,0,0,0.0,1,0.0,0.0,1
374,Chakradhar Kaul,1,0,0,0.0,0,0.0,5.259405546252918,1
375,Shivansh Johal,1,0,0,0.0,1,0.0,0.0,1
376,Samaksh Bora,1,0,0,0.0,0,0.0,5.259405546252918,1
377,Zarna Sood,1,0,1,1799700.33,0,0.0,41.8985163912496,1
378,Janani Kanda,1,0,0,0.0,0,0.0,5.259405546252918,1
379,Nirja Nadkarni,1,0,0,0.0,0,0.0,5.259405546252918,1
380,Eshana Sabharwal,1,0,0,0.0,3,0.0,20.407339944972712,1
381,Vasudha Lata,1,0,0,0.0,1,0.0,0.0,1
382,Praneel Varkey,1,0,0,0.0,1,0.0,0.0,1
